CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
715971108,51,0,4,2,2,0,0,42,3,2,3,34516.0,1763,32753.0,1.266,1550,41,1.05,0.051
708584208,36,1,2,2,3,4,0,36,5,2,4,3111.0,2517,594.0,0.646,2367,41,0.519,0.809
712833633,41,0,2,4,1,1,0,36,2,1,3,10688.0,653,10035.0,0.682,13866,98,0.508,0.061
771592458,48,1,1,2,3,4,0,36,6,2,3,1708.0,1059,649.0,0.764,4880,79,0.795,0.62
711786108,52,0,1,2,1,2,0,43,3,3,2,7187.0,2014,5173.0,0.649,1159,26,0.733,0.28
789996783,36,1,3,5,3,5,0,28,5,3,2,5393.0,2509,2884.0,0.679,4769,102,0.729,0.465
709638783,50,1,1,3,1,1,0,43,4,3,4,2961.0,2048,913.0,0.913,4056,92,0.769,0.692
718909158,38,0,1,0,1,4,0,25,6,3,3,5559.0,658,4901.0,0.627,1793,37,0.947,0.118
778360608,42,1,1,0,0,4,0,22,5,3,2,2403.0,1105,1298.0,0.735,4186,77,0.711,0.46
708323208,49,1,3,5,1,4,0,36,4,2,4,1522.0,0,1522.0,0.482,2241,36,0.8,0.0
788792583,44,1,3,6,2,1,0,26,4,3,0,7277.0,0,7277.0,0.758,4458,71,0.578,0.0
711131958,50,1,3,1,2,1,0,42,4,3,3,3743.0,881,2862.0,0.77,4621,71,0.821,0.235
711390333,59,0,0,4,1,3,0,46,5,4,2,6526.0,489,6037.0,0.678,2331,45,0.452,0.075
713995233,38,1,2,3,1,4,0,36,6,4,3,1438.3,0,1438.3,0.641,4707,88,0.692,0.0
770241333,49,1,4,2,0,4,0,43,3,1,4,2228.0,1003,1225.0,1.119,2104,44,0.467,0.45
799031958,49,0,2,6,3,3,0,43,5,2,2,18379.0,999,17380.0,0.466,4122,70,0.707,0.054
713261133,38,0,4,2,3,2,0,22,5,2,3,8632.0,0,8632.0,0.395,2221,40,0.739,0.0
818901708,41,1,4,0,0,5,0,36,3,1,1,1438.3,0,1438.3,0.841,4539,90,0.765,0.0
713922183,52,0,2,5,2,0,0,36,3,2,1,2507.0,1259,1248.0,0.85,4461,73,0.921,0.502
805254708,36,1,4,6,1,5,0,31,5,2,0,15700.0,1276,14424.0,1.389,2229,48,0.778,0.081
